,answer
67481,sunny
379645,yes
371171,yes
52278,no
244775,red
99234,pizza
21875,9
356185,2
247786,green
45223,yes
110347,no
4834,yes
224085,yes
158956,soccer
269872,yes
47643,blue
52871,no
330522,police
383382,bow
226839,no
191751,blue
169305,yes
160823,no
178252,bat
98822,plant
331043,bow
307456,2
384470,8
356465,bananas
39514,yes
108978,yes
323184,no
298118,no
287656,book
221841,black
138003,white
245878,yes
212944,yes
74355,right
145615,blue
366461,reflection
41110,turkey
114464,black
103851,no
383801,stone
8022,no
381363,yes
228352,purple
4921,beer
170066,kids
178334,yes
264545,1
305830,blue
218761,no
137864,cat
202775,2
52365,red and white
89070,yes
197098,zoo
112503,no
134746,no
240466,10
216090,10
82700,vase
196574,red
35595,mirror
277490,white
234141,yes
367388,yes
58180,no
252417,1
160595,no
33735,yes
364561,yes
223307,skateboarding
41836,golden retriever
252597,water
82337,no
119886,yes
343025,horses
329648,no
280431,polar bear
284972,flags
200605,yes
163054,yes
60762,white
61016,1
100850,yes
217941,yes
98168,no
8452,blue
148706,no
225519,yes
335308,gray
49026,air canada
278992,bear
78323,no
94581,yes
316153,white
238800,surfing
54755,yes
45735,real
17952,3
3470,no
336490,yes
159531,yes
25481,phone
125648,summer
145101,no
177674,yes
197213,yellow
297091,yes
56753,white
204938,yes
265465,red
66030,red and white
344867,red
120960,1
146535,1
137796,black
73356,yes
93475,red
43958,blue
252608,3
42688,no
180824,signs
119236,blue
354726,triangle
347745,yes
233981,plate
128091,stove
91800,30
136032,no
110758,no
270168,orange
122849,yes
330391,yes
376301,3
226465,no
50546,yes
93735,no one
2482,yes
285273,yes
58439,grazing
339161,dry
252324,no
221788,yes
245699,2
180392,no
48983,no
212846,door
14931,london
235279,2
261324,yes
150411,cake
302263,kitchen
287493,bed
242776,soap
192524,yes
277300,sandwich
289390,yes
321436,no
270959,food
13525,1
182928,yes
71444,no
244153,no
184103,2
47852,bathroom
346834,cake
367842,happy
80956,office
194143,no
180217,gray
268108,yes
220818,yes
211118,10
210850,yes
290324,no
161075,no
248086,off
374699,yes
39197,no
172289,no
181999,blue
247446,no
62779,tile
182817,yes
252902,cars
345211,none
223527,green
172969,kitchen
225224,no
329761,grass
201028,1
254218,no
97729,yes
246382,no
205415,fall
355248,stripes
131447,hot dog
336379,wetsuit
122198,glasses
154739,yes
143833,grass
257874,train
109633,yes
209005,yes
293007,yes
303732,triangle
163644,white
203401,tan
162438,yes
110951,2
290765,beans
293931,3
102087,2
4396,yes
348489,soap
315340,yes
5402,yes
49622,snowboard
116297,blonde
41497,no
210671,100
372785,yes
310419,red
38207,on wall
47535,1
115110,square
274644,yes
104212,no
300906,glass
60248,gray
3495,blue
166750,yes
355382,happy
145027,2
52899,juice
294806,man
214736,brown
226230,glass
238957,blue
198108,no
208600,living room
30686,no
289376,yes
45692,gray
51245,2
339610,2
339799,no
88492,white
95056,yes
13681,1
380662,no
20580,skateboarding
303990,man
124134,black and white
368816,no
224012,4
221089,lot
146853,yes
118143,windows
362409,water
268721,happy
26672,yes
82326,black
235583,yes
293804,yes
46137,pink
198900,2
71029,no
170565,no
91407,4
158931,no one
87608,no
351513,right
302836,yes
112583,yes
46855,no
74819,no
205811,1
152968,1
101566,yes
294607,yes
214319,black
318949,yes
94668,yes
27717,skiing
233770,no
151496,no
138152,no
284703,snow
107087,white
57707,batter
83958,cars
119760,no
361710,rope
305925,green
89890,no
36132,bathroom
150178,no
279498,1
279564,skiing
213041,no
235866,2
290489,chicken
221563,no
187250,photographer
140165,beer
204219,yes
28745,white
382084,yes
268642,0
92608,lake
299423,yes
21153,dog
372553,many
359601,yes
290226,summer
226429,yes
28754,beach
155843,woman
270742,1
91696,yes
323607,yes
57978,landing
288550,yes
20996,1
265794,yes
279323,gray
193524,tan
290041,0
258119,no
243462,0
361263,yes
284668,white and black
299624,china
305550,playing baseball
326966,pizza
175863,hand
24605,boat
208682,snowboard
381201,bedroom
328917,1
103593,no
301503,4
119690,kite
68038,dog
208578,yes
296114,no
227637,yes
281455,5
308575,6
26041,black and white
180463,yes
131455,brown
15655,no
238154,brown
304065,white
327855,bears
261952,no
67792,fruit
345124,sheep
125882,2
217205,forest
71245,no
322316,clouds
68820,yes
374943,yes
131645,3
293252,posing
15682,no
368901,1
181176,no
26070,no
364376,4
117382,4
211028,coke
179687,grass
93586,skateboard
57434,winter
387709,yes
109732,woman
344628,1
194772,no
234680,yes
323797,no
175736,1
250733,pizza
202023,yes
19607,white
33573,yes
78575,4
334440,no
131899,no
54642,orange
71345,yellow
75363,black
380417,2
46613,yes
324402,yes
150552,no
329991,no
21363,horses
99015,no
24902,no
75652,no
79952,1
247902,breakfast
247213,brown
303385,right
44321,no
81369,no
183388,yes
54912,yes
377146,1
315260,no
82026,brown
16430,yes
13733,no
21469,2
60598,public
280136,yes
257486,yes
5320,5
352259,no
351350,no
331793,orange
100861,tile
270624,car
33733,standing
286503,white
132548,no
275909,no
130715,transportation
160354,yellow
360615,top
198197,pink
355641,yes
168428,park
289256,no
385088,0
123171,2
346381,person
170617,teddy bear
242985,brown
242237,drinking
49035,beach
381677,yes
63602,no
352284,no
10706,0
172012,yes
61508,umbrella
134566,no
369490,yes
323381,remote
43950,no
130602,blue
342807,yes
33916,yes
173923,walking
10131,blue
276094,blue
376003,brown
321503,2
156174,riding
274692,1
119664,no
169796,yes
37353,no
234147,yes
46709,1
244099,yes
276005,brown
312979,no
72342,bathroom
161850,6
236921,no
204834,yes
9898,no
239991,kites
166014,no
19569,8
365415,male
249225,resting
49660,flower
252684,blue
317740,male
205002,no
228974,yes
340886,sidewalk
8196,5
200824,no
195107,books
357874,2
206104,white
98657,inside
37202,3
245568,5
207224,black
133090,texting
29117,umbrellas
242389,water
340230,yes
142187,22
253538,yes
194732,yes
44851,white
363361,no
56173,1
274935,dog
47739,black
320205,yes
295537,2
245204,no
145336,ladder
282231,yes
293920,yes
197178,black
232851,tile
110103,table
197199,no
321192,clean
116157,yes
220329,counter
84340,yes
358920,2
74946,2
139777,elephant
137191,1
367385,yes
373759,chain link
144046,yes
119522,yes
333513,elephant
113342,yes
113643,no
329547,sand
69532,no
303677,carpet
72903,none
1715,no
223120,no
301688,parking lot
348163,low
348601,3
168539,yes
270799,blue and yellow
175876,food
8966,yes
131563,cloudy
78314,no
124310,1
235937,kite
214384,no
171119,red
230104,yes
231606,2
343560,metal
85794,yes
311694,clouds
208187,6
15193,3
829,yes
130209,no
103156,red
310136,no
142260,no
225652,no
115823,yes
278067,no one
45440,no
146668,no
249142,clay
62815,blue
374819,tile
257136,guitar
100618,no
364664,no
303898,orange
222024,no
9100,none
198022,no
166301,no
54844,no
270169,yes
155951,no
374998,4
24894,no
80983,4
331681,floral
58195,yes
246520,yes
96083,no
221489,beer
50068,meat
105089,pork
100348,chair
343673,2
57093,5
355714,motorcycle
287603,no
60424,usa
371435,elephants
378839,blue
263879,right
143436,no
163586,giraffes
148584,broccoli
21357,0
377021,no
96532,4
231458,yes
48174,pork
154996,police
346277,yes
304535,street
77406,no
72480,blue
246975,urban
165698,baseball
171027,yes
190731,fish
47341,40
124198,no
139562,water
124476,no
206593,yes
217661,green
229337,mirror
221500,0
362477,1
1211,red
311053,yes
203559,no
224562,no
332813,red
27099,black
13832,bridge
342688,no
109749,blue
116058,yes
120,vanilla
227009,cat
264587,yes
355389,black
175315,gold
245795,1
24644,yes
384680,yes
283503,striped
214809,no
379183,yes
132593,winter
175945,no
141116,neither
364245,yes
158444,window
91383,blanket
115326,3
203558,straight
8031,yes
119856,2
136560,no
458,yes
202417,no
187307,no
203869,bar
106002,green
379879,yellow
20236,tea
138699,2
217750,truck
261905,no
289639,coffee
135740,no
327363,no
56190,4
108158,yes
184842,yes
18776,1
368012,office
179422,3
161248,yes
367993,cat
223113,2
162979,bananas
66837,yes
182990,yes
187034,yes
314561,person
341454,yes
102842,yes
366207,stove
174755,yes
138804,no
382070,no
121131,cat
207169,yes
163797,red
9314,yellow
263600,yes
177986,no
109411,skate park
254600,no
129112,kite flying
324541,bus
51864,nothing
40609,no
171308,2
262690,1
299414,no
341219,bedroom
54625,red
14049,no
347759,2
135933,windows
223116,no
166431,no
370281,no
127124,kia
97504,no
17883,yes
337566,sandwich
255159,silver
165331,no
125004,wii controller
111884,2
317854,reading
175096,3
78570,no
30358,5
154664,no
200120,boy
132271,yes
120203,electric
284385,black
281868,yes
141893,no
196172,no
12899,brown
324106,wine
37684,tennis
375480,no
254842,yes
317021,yellow
249621,pink
76305,yes
273546,tennis
289252,no
189212,no
254303,gold
64357,no
247821,yes
6663,yes
24475,safety
310539,2
369082,yes
133167,no
263587,parade
224543,no
174142,purple
358554,standing
222578,no
156617,english
250373,living room
60273,baseball
77775,white
365727,milk
213903,no
184395,skateboard
143529,knife
318212,no
289706,english
176896,yes
282800,brushing teeth
362818,skateboard
115280,yes
371111,yes
81720,yes
201670,no
180270,yes
311941,sheep
21549,6
47454,no
349312,yes
243894,garage
97434,no
348782,green
192016,snow
296504,lot
334102,tennis racket
364897,yes
352796,frisbee
106749,yes
315024,nothing
199892,yes
168311,white
190933,batting
21956,no
259971,calm
224441,bus
290961,0
248848,ladder
4446,blinds
365947,triangle
153370,blue
311513,bedroom
227274,2
145198,11
289983,2
338119,wood
304789,skateboarding
383648,go
48551,1
258730,no
290447,2
240914,green
140206,yes
146264,3
231869,cross country
67788,28
113806,yes
354173,no
388243,no
325740,zebra
16115,8
284197,yes
164442,no
208634,nothing
370776,b
199445,7
61840,yes
356152,spoon
311195,no
347651,yes
25986,yes
373499,yes
264260,yes
70924,yes
378132,man
147779,8
239783,no
33414,yes
16975,yes
178090,no
307693,brown
320733,no
131127,3
30079,camera
171026,yes
194019,4
222044,on table
253629,black
35119,yes
280965,cake
49323,no
235182,sandwich
121904,no
8291,no
42443,green
56362,yes
328981,wii controller
131490,stripes
182739,13
39839,yes
110515,no
349223,yes
333714,yes
106009,blue
379923,8
224564,3
35521,4
270564,no
367816,no
362987,color
260106,yes
75555,cabinet
77573,no
119337,no
135142,no
111846,yes
101632,no
155151,no
361557,yes
84386,2
131669,yes
189174,white
15435,yes
138961,police
320294,white
10791,yes
163959,cat
71905,no
350276,no
270613,yes
46028,1
368158,no
195223,yes
329526,cat
36985,luggage
371359,3
12103,5
135846,no
89881,man
326489,no
217738,shirt
132374,yes
138206,11
217078,yes
14821,no
267949,2 feet
181301,1
97411,slow
210872,tennis racket
245450,1
220132,laptop
117191,3
291818,circle
17252,yes
162803,red and white
368624,2
165491,no
262728,2
86414,8
212727,yes
343236,4
284553,yes
11685,yes
246683,3
23522,purple
340421,trees
180554,yes
224889,blue
262098,dog
70078,vegetables
216506,tennis
81692,yes
282812,no
75080,no
331620,yes
182184,no
381884,red
281816,green
30088,yes
184630,yes
9252,no
385173,yes
368307,yes
168318,no
52777,apples
157521,birthday
125666,no
12374,yes
318695,chef
340680,blue
300742,kites
255488,carrot
82795,birds
35028,no
61933,yes
2328,england
163336,black
79341,no
247589,floor
328183,1
59194,people
282594,bed
327159,ceramic
82778,green
289760,yes
153719,airport
216087,yes
342220,no
219147,3
359813,6
345581,1
204186,no
100150,no
191931,yes
186101,2
246689,orange
12064,no
234500,1
248190,baseball
249533,twin
90259,2
14196,blender
212494,yes
129577,snow
152612,2
51904,yellow
26242,no
182009,orange
94407,yes
263977,catcher
297682,catcher
113954,yes
244404,no
76996,tomato
271885,no
33496,orange
383638,yes
235516,1
310905,no
61945,brown
45086,church
386201,1
301248,no
336899,kitchen
60374,green and yellow
212816,yes
192549,yes
352165,no
310804,no
214794,no one
119459,police
274941,no
53499,mountains
358586,kitchen
66074,yes
68027,no
33460,7
149643,1
257098,yellow
85079,no
307163,no
80427,no
344326,yes
123552,left
279887,yes
85484,2
309004,cat
302404,yes
248538,1
332806,no
366044,blue
190186,no
227172,phone
330394,white
109075,blue and white
109932,business
189620,baseball
20251,red
368897,no
14458,1
159304,0
230278,green
2723,black
135735,terrier
328292,lot
368188,no
347994,yes
160211,food
285114,yes
322921,yes
323157,0
226446,pizza
301796,white
111088,yes
112836,4
274514,0
247520,no
332890,yes
159143,no
338841,serving
216279,no
15792,white
295829,0
202666,no
153967,yes
310776,bananas
260375,boat
232987,no
225582,3
283289,black
154354,delta
75997,tile
15768,yes
49105,yes
232694,no
237421,yes
362328,brown
178261,beach
112889,gray
67387,yes
104350,no
100958,no
148288,white
345312,no
158812,yes
63069,9
294466,yes
316394,beanie
186535,business
326037,yes
225107,right
113048,brown
77291,no
334512,0
378598,yes
58502,blue
322590,no
237026,gray
112430,child
280611,nothing
366232,2
223446,3
158005,blue
8402,tennis
51543,yes
281128,yes
350935,no
102474,yes
25036,no
80183,no
324662,a
62709,0
75897,brushing teeth
205131,no
340336,toothbrush
290282,soccer ball
290526,no
384292,8
223496,1
215102,fork
248105,yes
168460,3
145723,shrimp
338212,nothing
338966,yes
30301,white
189955,male
194639,light
218354,elephant
231125,resting
387787,down
105783,yes
282189,yes
17239,no
378207,blue
311491,no
203955,left
231384,knife
371162,india
117641,train
139974,house
155349,cat
298271,no
134579,0
356472,apple
9742,apple
295245,c
112523,vegetables
236609,no
138539,0
295982,yes
148191,yellow
325521,yes
3835,no
122990,cow
33526,no
242140,no
146939,no
147656,no
53239,yes
150603,yes
155404,no
19490,0
362846,green
223996,no
101478,bird
117327,yellow
310216,green
130580,yes
66098,no
111234,yes
175886,yes
47233,windows
166156,2
328222,no
351967,yes
331132,blue
713,man
255187,no
246601,no
212672,yes
331388,bicycle
342189,no
148012,yes
223416,2
306494,30
358359,cat
26582,yes
222512,tomatoes
228503,no
36353,5
355448,white
285461,toast
372854,yes
196932,1
222263,in water
117689,snowboarding
372594,frisbee
207961,no
247162,pictures
5616,3
185722,3
203193,3
149460,cows
10824,no
330789,red
154610,yes
208194,yes
50888,no
183977,no
356832,no
346820,yes
234035,pink
153237,yes
161074,1
351377,zoo
201030,no
197504,1
177084,2
66651,yes
362516,yes
118315,red
181717,yes
240866,no
380626,4
25375,baseball
159247,no
258644,yes
195203,red
168162,1
201551,2
127938,yes
300139,8
80160,blue
358386,many
21199,1
112228,no
306387,no
305899,no
315000,blue
376799,white
40995,yellow
79313,yes
207135,yes
204758,no
382167,yes
221990,no
307717,ceiling
51054,surfing
339569,yes
325594,sheep
290679,no
348135,1
93723,white
166493,3
92408,window
249640,yes
243025,blue
130943,no
139567,1
127756,2
173859,wine
216021,20
81746,blue
220294,no
381840,fish
46158,no
302874,no
279018,yes
149401,big ben
91394,no
192356,gray
358996,black
95655,tennis
25827,red
133663,no
350117,yes
173206,kia
209980,no
7050,1
180842,yes
33020,no
24494,rural
124644,yes
251887,white
8939,nobody
282544,no
48546,yes
168900,towel
38673,4
348999,yes
82726,sand
39743,standing
207108,yes
153427,blue
298227,people
39784,neither
184986,no
255258,yes
48915,blue
113118,yes
303151,no parking
289104,pictures
212002,orange
336391,yes
102685,bus
4034,0
167532,yes
140210,1
279527,red
12174,yes
218456,yes
257430,brown
127529,no
254274,no
5887,window
4652,yes
319375,bag
289271,bikes
73479,yellow
96710,3
254440,yes
229028,none
57929,11
239829,black and white
277577,work
6741,red and white
198316,1
6164,skateboarding
37427,no
304412,1
310473,2
110626,sheep
369380,yes
53222,yes
150280,none
175438,tan
153232,green
315298,no
151289,no
185601,1
249682,no
357777,yes
233015,nokia
66637,car
179463,person
247643,2
151143,right
39948,yes
220926,sand
190688,chocolate
340237,brown
322525,blue
336938,yes
275514,white
35751,no
267319,2
176909,black and white
264367,yes
319945,yes
293046,red
44749,restaurant
201252,yes
330375,5
255463,no
339083,sand
34092,no
284499,surfing
303087,helmet
256283,building
144665,yes
287290,yes
9746,coffee
330443,yes
54761,yes
363266,red
291339,swimming
195134,yes
44,no
50743,down
53594,skiing
219454,bridge
366971,black
307085,yes
63162,yes
143700,white
305942,street
144552,surfboard
46378,3
133470,3
315192,standing
356800,no
197299,no
200552,green
230029,delta
236911,2
291888,chair
185200,no
377289,no
131801,no
305980,yes
286627,kitchen
19356,paper
68544,donuts
164888,2
70757,yes
330303,no
41990,2
228783,shorts
331485,no
272491,no
362378,yes
275579,america
168855,shade
184112,2
125013,no
359915,black
386044,1
39345,1
219944,vanilla
251524,3
59867,controller
276155,5
345786,no
3774,no
59711,no
262567,yellow
216902,yes
49465,no
73941,tray
294641,no
127571,frisbee
233897,ball
220770,no
38699,no
125553,white
367251,no
175058,no
308454,no
110486,store
229630,yes
326868,no
95367,black
81895,yes
236417,no
383434,yes
25113,1
262362,pizza
34897,brown and white
361187,standing
2782,yellow
151730,black
249312,yes
25943,green
119420,newspaper
78424,white
295261,no
86488,yes
147633,no
153430,yes
80668,watch
103928,sleeping
37519,no
76707,building
201185,red
293950,yes
174189,no
172481,tabby
81993,yes
296194,scarf
80476,no
247622,no
290810,cheese
103814,none
189581,yamaha
375234,head
342001,no
233939,brown
343819,no
361787,sink
145037,yes
41166,frisbee
373454,yes
361579,shoe
250348,no
22566,white
9393,yes
209579,standing
333147,sunny
154821,yes
175370,cooking
326682,batter
212038,yes
334086,sunny
344106,4
67151,blue
281973,no
225723,yes
34256,yes
84231,flip flops
113220,no
316950,yes
251627,mountain
38943,kitchen
365617,man
140895,yes
30481,yes
262324,green
325804,smoke
15771,yes
81018,yes
226984,yes
19619,gas
117444,no
54163,no
31211,4
269211,3
290490,brick
267382,no
236454,no
178567,lufthansa
55256,park
376855,yes
384181,3
100959,soccer
128589,white
234217,no
71879,yes
166311,goggles
278602,birthday
203356,yes
87206,no
160981,no
230742,eating
101377,2
232542,0
121481,white
104831,snow
334501,no
220986,no
179375,2
383568,black
15779,yes
238295,yes
207084,no
363622,5
373553,no
132279,suitcase
102870,1
27799,white
172162,1
168448,yes
4501,blue
322087,no
246489,water
339655,very
303288,no
151218,car
184883,yes
347250,concrete
37531,no
164804,counter
219586,sun
177372,yellow
62791,blue and white
134389,no
219230,yes
363142,no
72292,yes
310868,japan
184320,dog
12178,no
275682,man
173781,yes
237536,black and white
47536,yes
164168,no
339540,no
367861,yes
384765,no
235824,black
133361,no
278655,13
87549,1
365989,yes
381280,broccoli
216926,no
379377,clay
121109,yes
236982,blue
150124,no
89414,yes
251350,yes
150894,2
312332,3
207713,yes
60609,yes
91532,yes
223986,no
340118,no
319601,yes
338388,no
180150,3
81792,brown
41191,no
105774,clock
265610,34
205136,yes
157539,yes
99159,no
99274,no
282848,no
147090,oranges
379037,crosswalk
322449,1
278575,remote
216949,rock
216922,riding
102576,yes
95231,2
325544,yes
86425,no
156117,2
275242,no
105663,nothing
2947,no
321886,yes
354254,yes
238605,0
372267,grass
222538,no
109192,2
346208,yes
386268,2
48006,yes
302556,square
381762,yes
362502,yes
136506,yes
267671,white
17313,yes
13510,no
13287,4
84799,kite
231041,1
360144,no
363783,22
85347,no
62360,lot
135640,yes
135726,blue
335545,looking
143537,no
51939,yes
122897,no
341018,5
256516,no
141371,yes
115816,yes
299847,8
57743,2
358419,bathroom
281286,broken
31945,no
100362,umbrella
387002,red
322932,boating
150958,bathroom
277265,safety
272435,blue
352606,yes
274905,no
215451,straight
105726,no
69867,2
307971,knife
108506,2
51774,no
201054,surfing
382101,no
81528,no
164547,yes
259319,no
337875,yes
310351,no
227680,yes
7301,yes
146417,bathroom
336269,yes
250809,no
44886,1
199356,yes
347814,no
152651,yes
159596,blue
213019,yes
222749,clothes
36630,playing frisbee
306753,surfboard
341369,big ben
250962,apple
168009,no
381710,nothing
229272,hands
304540,truck
148630,winter
156741,terrier
228789,yes
190196,no
215085,yes
198393,no
54640,4
40408,clear
288854,no
90814,no
87461,no
372120,no
241237,yes
16618,1
271782,yes
115188,man
77108,2
36694,rain
31877,living room
27880,yes
295629,yes
211651,blue
194510,yes
354288,no
12,yes
95393,5
207079,lighthouse
108217,yes
322536,jacket
141466,no
222898,strawberry
224686,cake
5610,cow
209544,blue
12093,red
41802,snow
114841,bike
307568,rock
300120,yes
276275,yes
305555,bat
156179,carriage
298315,5
200214,yes
357300,red
361356,no
234950,no
282526,no
9561,none
357840,no
169982,no
387326,no
181936,standing
222520,orange
109679,eating
269706,gray
129430,trees
2537,no
72962,kite
22640,yes
199229,1
313371,3
238509,above
232356,rope
295606,yes
243156,no
65489,girl
256234,1
2558,red
122531,5
265131,nothing
260526,no
146127,no
203405,yes
381564,no
6460,clock tower
310028,red
374762,yes
376393,hot dog
339794,1
199309,man
386722,no
184537,very tall
68423,boy
385538,no
301048,no
227633,no
31652,yes
86892,suitcase
146814,carrot
221145,no
318020,no
231232,yes
337365,no
178691,yes
150261,crane
178896,no
163043,clay
334624,no
49468,1
205772,fall
80180,no
231153,purple
126660,yes
242664,white
230875,yes
373008,gray
60647,octagon
112387,7
218059,yes
201055,no
137291,green
313319,no
238264,no
275926,1
230048,no
354697,snowboard
8480,yes
198648,brown
2194,orange
328576,3
357637,food
12327,plastic
71382,talking
372838,summer
233703,big ben
321378,home
325518,no
49984,grass
140893,1
51553,no
117434,pizza
230079,sausage
95767,no
330263,no
264309,man
58537,train
24948,many
274470,2
298860,milk
211120,cake
355261,yes
359317,kitchen
50632,yes
337181,red
121259,no
225384,white
86006,yes
277715,no
246940,no
231151,yes
62031,yes
241500,yes
60450,1
127059,no
278157,blue and white
217936,no
119644,yellow
144286,yes
295393,yes
37321,no
355251,yes
48060,red
97787,clouds
36137,yes
185059,square
130359,yes
271453,no
29846,2
37416,yes
260455,no
32025,2
197889,no
28435,no
50381,kites
228908,downhill
200286,not possible
14117,brown
197703,white
304019,open
19505,yes
158656,yes
227892,skateboarding
190533,spring
112434,no
31844,kitchen
200628,no
141359,1
245413,sunny
173365,yes
322799,black and red
326790,church
90574,yes
241660,no
286275,brown
233379,left
263216,3
309802,train
130032,no
379767,pink
162213,1
203998,yes
30281,bathroom
270840,living room
95946,day
267415,yes
115177,food
108154,none
325596,yes
246469,white
255722,yes
309747,surfboard
119569,no
315066,playing tennis
30221,yes
24263,school
97350,frisbee
349150,yes
48285,white
60170,3
229640,paper
221433,overcast
166734,6
221978,yes
125905,brown
267912,green
179101,brown
192082,rain
154427,yes
226084,wine
366315,no
119544,teddy bear
28778,orange
144468,no
367909,yes
1386,yes
45862,yes
231734,2
147754,mountain
304383,2
181342,safety
56443,no
279336,yes
203809,yes
204165,male
167621,yes
37500,yes
164850,yes
161969,yes
111335,left
65441,yes
189028,red
161148,on bed
33301,yes
134937,orange
204170,white
245659,pizza
236257,cat
56749,no
90047,up
363344,yes
258322,no
124739,9
161565,brown
275198,fish
329258,playing frisbee
4359,bathroom
103958,yes
323874,talking
106051,no
77472,no
185445,walking
381505,yes
160415,bed
37822,white
307620,2
259274,lettuce
199025,no
88842,yes
95746,no
189565,yes
332177,no
43819,yes
93278,yes
55874,yes
384756,chair
118338,no
12330,mouse
363951,no
103448,0
340649,white
185484,morning
159985,no
31495,black
3049,yes
38125,1
239912,skateboarding
15484,yes
72398,red
134803,2
151695,strawberry
208540,1
362090,no
177709,bathroom
99272,no
234951,yes
191256,3
86194,man
331729,yes
196587,yes
331000,3
7319,brown
128422,jet
104014,18
238682,left
21461,sandwich
153209,yes
349581,no
26845,table
38405,round
315526,0
151331,2
109298,no
224982,left
250153,tennis
149887,no
94464,living room
43345,red
68789,yes
44794,yes
183235,no
90500,yellow and blue
130152,no
120335,no
219572,pink
212446,yellow
171936,yes
157572,yes
191398,1
73496,signs
343991,racket
149945,2
245126,yes
162562,helmet
336957,2
247718,yes
325954,no
326991,black
220260,airplane
221951,none
348803,umbrella
369645,black
365030,baby
231561,face
216422,no
105750,no
357285,middle
35947,snow
79925,pepperoni
100103,yes
64767,none
85516,no
77243,yes
1749,left
384045,yes
68841,clock tower
111075,unknown
205960,desk
219824,breakfast
14645,many
304167,sink
98134,yes
213038,wii
231736,blue
103179,no
153472,pizza
107130,yes
223166,yes
28703,no
35378,blue
195359,no
22294,yes
48977,tile
9411,no
122204,skateboard
212636,yes
51725,no
118521,no
153628,blue
32500,1
386661,no
338883,white
311984,yes
375515,yes
162073,black
63038,donut
267859,night
27460,no
10970,yes
351411,yes
241132,23
200408,3
50634,no
284594,yes
161533,yes
124532,bananas
103727,2
370902,no
27490,2
226692,no
218394,yes
85072,nothing
125437,adidas
217559,yes
33189,black
145923,27
32958,color
152837,no
55423,train
384080,red and white
195925,no
112702,yes
177465,no
142026,water
102668,no
325922,2
207463,no
46276,7
311258,no
53490,black
78404,no
123939,1
59359,cowboy
281861,yes
279203,yes
65742,yes
340099,2
96198,glove
249884,1
323715,yes
164843,nike
71011,no
43138,1
220236,no
12620,hand
252855,no
215603,square
41275,none
380471,emirates
214850,banana
100406,train
325735,right
38116,station
225311,none
349770,no
37951,1
300596,yes
225386,2
5425,black
377790,yes
113086,bathroom
292623,yes
49090,no
28883,no
279743,2
73032,no
3327,chair
311670,yellow
284450,yes
3227,yes
162294,girl
213626,no
135089,skiing
291579,no
115125,0
198150,red
356596,surfing
255699,5
289473,no
176141,yes
79122,statue
203113,blue
240471,yes
67929,sleeping
267760,no
65280,waves
292471,red
315839,1
47775,street
193474,no
217154,snowboard
250657,no
107571,kite
175145,no
288069,white
57518,tennis
175394,cake
47374,yes
66198,broccoli
282406,green
70628,1
6689,shirt
58938,chinese
16592,left
162006,3
294661,no
58998,skis
47795,cloudy
385126,white
366501,2
328631,striped
191336,no
17607,yes
336591,yes
631,bed
81233,on wall
203616,yellow
167495,no
35266,9
270338,no
240555,shadow
26707,no
292793,no
60946,yes
121502,cake
272916,broccoli
307216,wood
11746,white
270433,3
145149,no
48497,yes
280516,yes
369647,yes
68494,usa
157008,3
200517,yes
381501,no
6919,sandals
383287,1
289702,no
125755,no
246825,fire hydrant
63858,baseball
297488,no
10936,front
271693,yes
13744,yes
83635,no
1863,no
333446,sugar
190681,2
176354,short
199762,yes
31125,raining
346577,no
261027,no
106230,no
33172,2
158859,1
69895,2
347890,up
68734,tennis racket
45409,no
208593,4
216244,no
213236,chair
208214,yes
1725,spoon
31086,yes
8100,yellow and black
118857,woman
96983,no
151290,on sidewalk
55093,yes
379920,blue
138319,yes
342060,yes
116745,yes
287717,people
163709,no
84888,red and blue
262795,1
110300,no
176631,yes
255133,scissors
165737,no
293040,yes
149240,no
365091,baseball
302281,no
248362,no
9456,cross
32599,no
186251,yes
169308,no
294532,no
359740,safety
41400,brown
260100,yes
55140,helmets
26052,yes
258782,blue and white
162479,yes
336921,yes
200718,yes
269830,yes
282696,no
370930,blue
318739,bench
33048,white
60544,bacon
194038,3
291571,cheese
122443,windows
324638,0
352042,zoo
211047,yes
145260,no
31258,red
67947,snowboarding
4181,yes
311511,1
83683,yes
300084,left
33060,no
45593,yellow
10606,elephants
61412,yes
325131,nothing
131982,1
162629,yes
145052,2
333105,2
209582,blue
356878,cheese
213571,no
95573,carrots
355773,yes
19718,yes
48921,yellow
64024,front
9462,no
72931,right
128732,tile
105247,2
173968,red
140068,pink
133208,no
259366,no
274116,pole
61732,yes
345292,no
198276,skiing
199155,yes
237853,no
351558,yes
175707,blue
53991,yes
161402,giraffe
219696,yes
230746,man
316630,clothes
70001,white
140471,men
73516,orange
162183,yes
158591,overcast
166612,3
377711,yes
364137,3
146376,yes
326688,no
72722,street
31618,clock tower
118909,yes
126015,yellow and blue
141285,3
5329,no
96694,no
89586,france
60987,no
122855,yes
161346,lot
92683,black
193615,no
196855,plain
297409,orange
123766,no
156349,yes
133538,parking meter
378221,batting
341659,tennis ball
240826,no
103785,water
331069,no
356347,no
134128,no
188643,0
217106,no
71434,6
334110,yes
160889,white
271086,all
72268,yes
334078,cement
188860,no
189303,brick
51023,no
185803,no
362887,no
189890,beer
372660,red
142846,nothing
110731,yes
128253,no
349210,large
316392,no
314709,no
356353,no
299839,no
287050,yes
228476,table
111569,nothing
295153,sitting
82183,yes
96442,left
347156,yes
